20469,positive,"RT @wnbooks: Did you know that Syrian refugee children as young as six make shoes in Turkey for £25-35 per month?

@TansyHoskins' urgent ex…"
77610,positive,RT @NYSYLC: 🥰distribution of emergency funds continues to #immigrant families impacted by #covid19. Just this week our goal is 100 more fam…
38127,positive,"@CMOKerala @PMOIndia 

People in high posts should be careful in talking about migrant workers. There are million +… https://t.co/YvDanMeohr"
17558,positive,RT @DOJ_EOIR: Effective March 18 all non-detained hearings postponed; these immigration courts closed: ATL Peachtree; Charlotte; HOU Gessne…
21043,positive,"@dianap652 The immigration system ain't broken or oppressive dummy. We are a nation of law and order, and many of y… https://t.co/waY4k97nGs"
8908,neutral,@MWaranle @sihlelilx55 Get out of my mention somali terrorist. Go collect your refugee ration while thinking about… https://t.co/s1eZ9kNrcf
71626,neutral,"RT @kontologis: @gmaniatis Mister Maniatis, say you have one spare bedroom in your home, would you host a migrant family in it? Why are you…"
3668,neutral,RT @mal1976retaf: @johngault071 @meaculpau27 @LadyChesapeake @Professing_Prof @hogansgoat2423 @lisakitchens8 @AzDerbyGirl @lonestartxMary @…
15994,neutral,"A video with interviews from the Greek &amp; Turkish side of  border.

part 1

#IStandWithGreece 
#Greece_under_attack https://t.co/gQVwNhm1wk"
7389,neutral,@vonderleyen @EU_Commission Help #Greece #GreeceDefendsEurope #Greece_under_attack by the Muslim hoards
29847,negative,RT @ErikaGuevaraR: Terrible news! 3 unaccompanied migrant children in detention have tested positive for #COVIDー19 in the #USA. @realDonald…
24593,neutral,RT @FAIRImmigration: Immigration advocates seeking to use the coronavirus to try to relax enforcement. Any legislative policy changes that…
79092,neutral,RT @ZoeJardiniere: @adangeloUK @donflynnmrn @SueLukes @roxanabarbulesc @LucyMayblin @omaromalleykhan @nandosigona @refugeecouncil @jablonow…
84383,positive,"In May, my debut #novel 'The Asylum Soul' set at the old #Brookwood #Asylum near #Woking will see its fifth anniver… https://t.co/E2D4VCK8ri"
30602,neutral,"RT @HannahMScott96: Looking for something to read while in #selfisolation? @UNHCRCanada just put out our Spring magazine, which I was honou…"
27734,neutral,RT @charliesmithvcr: . @JennyKwanBC writes: Migrant workers and caregivers must be protected in COVID-19 pandemic https://t.co/yW7uxuQBEY v…
41010,positive,"RT @thenigelj: In some good immigration news, the first Motion to Terminate I’ve ever written was just granted. 🥳"
22231,neutral,RT @JennRollins1002: Greek Border Guard forces are still targeting #Refugees who have been in the border area between Turkey and Greece for…
7162,neutral,"RT @scroll_in: Voices from Assam’s detention camps are a reminder of events that led to the Rohingya refugee crisis
https://t.co/dLe8kU5Yxc"
35745,neutral,@Teri_Kanefield Newsflash to Laura Ingraham: this happened a century ago too with the massive wave of immigration f… https://t.co/OZBHqxi2BB
21273,negative,"The coronavirus pandemic has forced Immigration and Customs Enforcement to change who it targets for arrest, accord… https://t.co/LuIx0JQxqK"
1697,negative,"Turkish Foreign Minister Mevlut Cavusoglu says the EU-Turkey agreement can be kept in place if: 
- EU delivers on p… https://t.co/7WtkDdx8So"
2804,positive,"nothing will happen..
immigration fraud is fine. https://t.co/AxBS9SlRcg"
27313,neutral,@Ummukullthumm 😂😂😂 this you yoruba na like refugee own
12682,positive,"RT @Haleaziz: NEW: ICE prosecutors joined judges and lawyers in calling for the shutdown of immigration courts across the US, an unpreceden…"
5270,neutral,"RT @emayfarris: I have the following topics left in my immigration class: border and national security, refugee and asylum policy, discreti…"
36804,neutral,RT @KhurafatiChopra: Last call of man who died walking: 'Lene aa sakte ho toh aa jao (Come and get me if you can)'.  https://t.co/FvSQJL9t6F
641,negative,"RT @cynaegeirus: Borders are closed

Zero dead from Greeks

Professor Dumbledore is looking for you, you have class in a minute

#GreeceUnd…"
73045,positive,RT @AlaskanCourtney: This is awesome 😂 https://t.co/bc7qlgXLU2
73531,neutral,@KhanPason Do you even know that Pakistan hosts 4 million Afghans? We gave them refuge when your country was ongoin… https://t.co/EeEeOeWFCQ
44314,neutral,"‘Demented’: Tucker Carlson Blasts Chad Wolf, Calls On Trump To End Visa Programs That Will Take American Jobs Durin… https://t.co/jHo60jF44g"
29648,negative,"Um yea, it's going to the ""Americans that make less than $75,000. Immigrants with tax IDs are not legal citizens, t… https://t.co/iJMthH31I7"
9498,neutral,"Featured Art of the Day: ""Refugee"". Buy it at: https://t.co/kCiCVvqQv3 https://t.co/e4xp9TP4le"
32543,negative,RT @IStateCRs: After discussion in our group. We have decided to join this Resolution. Due to this immigration system we’re seeing a resurg…
42458,neutral,"@YlvaJohansson If 'child safety' is your priority, what are the Commission's plans for the evacuation of the thousa… https://t.co/IY2iyLexYr"
10821,positive,"RT @V_of_Europe: *EU to offer economic migrant invaders on Greek islands 2,000 euros to go home
https://t.co/oiQQFoVGHN"
32658,neutral,@akoi_Jam @narendramodi @INCIndia They are migrant workers. They don't vote.
72469,positive,The impact of COVID-19 on employers has become increasingly prevalent as the pandemic has developed. Read our insig… https://t.co/8AGfajL0vV
71444,positive,"Migrant workers are going to want to book tickets in train. MAKE IT FREE. 

@RailMinIndia"
12246,positive,I have been screaming about this for the past 3 days to no avail. Most cities have banned gatherings of 50-250 peop… https://t.co/q8vARnesQ9
70477,negative,#UGANDA: WHY #MUSEVENI IS NOT TACKLING URBAN-RURAL IMMIGRATION AMIDST #COVID19: Image may be subject to copyright I… https://t.co/6hcK11mg4b
17457,negative,"RT @Mahesh10816: That's when I realised how illegal Bangladeshis are creating imbalance and disturbance in the job market, especially in th…"
76815,neutral,@excalibureighty @zarahsultana ever wondered where the push for mass immigration to Europe came from? https://t.co/PbC7KgodH4
5257,neutral,Translated - Exploring culture clashes with refugee and migrant women https://t.co/HBseOR2COL
79137,positive,Most NYC street vendors are excluded from receiving federal stimulus relief due to immigration status - despite the… https://t.co/pTw76vOZSa
38836,neutral,RT @jtblogs: 🚀@realDonaldTrump🇺🇸🚀@VP🚀Harvard/Harris Poll: 5-in-6 Americans Want to End Immigration from Mexico👊👊👊https://t.co/gvwOHijbsP
4863,neutral,"RT @yunggona: My parents owned a bakery together back home in the 80s, fled to Canada in the 90s and kept baking together in the refugee ca…"
43057,neutral,"@zokersghost @YoElSupremembo @jillocity1952 @Pianomann @Shape_Sh1fter_ @ljk6222 @Timcast Don't know about NY, but l… https://t.co/iocI0vgTpf"
66349,neutral,"I was admiring @ArvindKejriwal ‘s governance untill Shaheen Bagh,Delhi-Riots,Migrant workers and now Nizamuddin Mar… https://t.co/0CbvMsxSFT"
9501,negative,"It will be murder if these vulnerable people aren't looked after @vonderleyen #CloseTheCamps
MSF calls for refugee… https://t.co/tSCSSOVst4"
84596,neutral,@afagerbakke Saudi didn’t take 1 Syrian refugee but built 60 mosques in Germany.
830,neutral,Judges Were Told to ‘Remove’ CDC Coronavirus Warning Posters from Immigration Courts #SmartNews  https://t.co/Xtvta6MyZY
38799,neutral,"RT @INCashishsaini: @Simi_Garewal @BhavikaKapoor5 Guess you also need to know facts.

Migrant workers were sprayed Sodium Hypochlorite whic…"
80657,negative,"This is what the native born and bred get ""insults"" from importing that twisted cultural mentality, courtesy of the… https://t.co/15pbDNtq2M"
34252,neutral,Canada could face legal trouble over refugee deportations: advocates https://t.co/7anVMLVLEE
24643,neutral,"@DannyG93837139 @Jthemannn well, restrict* ""LONDON — To a chorus of complaints from employers, Britain said on Wedn… https://t.co/VD4vY7Dtf3"
27235,positive,"RT @MPaarlberg: Honduras, Guatemala and El Salvador may just be starting to grasp how unsafe “safe third country” agreements with the US wi…"
67241,neutral,"RT @thenation: Trump is refusing to reopen ACA enrollment in the middle of a pandemic, and it's going to kill people. https://t.co/7oAH3Q6f…"
42537,neutral,The National Disaster Management Authority should urgently coordinate arrangements to transport migrant workers who… https://t.co/ABHKx45aAK
26864,negative,RT @KasturiGandhi: Can empty universities be converted for the next 21 days to provide food and board for homeless migrant workers stuck in…
75637,positive,"""I pictured it starting in Indonesia, in a refugee camp. Indonesia has been persecuting gay people, and I imagined… https://t.co/oA2Qbd6dCE"
78731,neutral,"RT @baphometx: Racist asylum-seeker attackers seldom convicted - Between 2015 and 2018, German regional public broadcasters  found, 2,558 i…"
4049,positive,"Lawyer defending Trump policy makes stunning admission
https://t.co/0W1vVTndJa"
72354,positive,"A Prime Minister to a catholic nation.
A son to a Hindu Mumbai migrant.
A doctor.
A partner to a handsome cardiolog… https://t.co/MWRbUE0PpQ"
